Correcte,Erroné,FR,IT,NL,UK,GE,Nombre total d'apprenants,Examples de mots
ę,e,2,0,0,0,0,2,skręcić
u,e,0,0,1,1,0,2,"juliusza, ulicą"
usz,sk,0,0,0,1,1,2,juliusza
-,r,0,0,0,2,0,2,"dobrą, prosto"
-,ko,1,1,0,0,0,2,"juliusza, słowackiego"
usz,ask,0,0,0,2,0,2,juliusza
ł,-,1,0,0,0,0,1,słowackiego
-,eg,1,0,0,0,0,1,słowackiego
i,sj,0,1,0,0,0,1,słowackiego
a,o,0,1,0,0,0,1,słowackiego
c,ń,1,0,0,0,0,1,słowackiego
cki,sj,0,1,0,0,0,1,słowackiego
lic,cz,0,0,1,0,0,1,ulicą
cki,tsj,0,1,0,0,0,1,słowackiego
ck,cz,0,0,1,0,0,1,słowackiego
-,l,0,0,1,0,0,1,ulicą
ck,s,0,0,0,1,0,1,słowackiego
ł,t,0,0,0,1,0,1,słowackiego
c,szi,0,0,0,1,0,1,ulicą
k,ty,0,0,0,0,1,1,skręć
s,śc,1,0,0,0,0,1,się
i,t,0,0,0,0,1,1,się
sk,cz,1,0,0,0,0,1,skręcisz
ę,ej,1,0,0,0,0,1,skręć
-,ts,1,0,0,0,0,1,"sklepem, sklepu"
-,d,0,1,0,0,0,1,sklepu
-,go,0,0,0,1,0,1,słowackiego
-,e,0,0,0,1,0,1,sklepu
e,-,0,0,0,1,0,1,sklepu
-,lo,1,0,0,0,0,1,słowackiego
i,y,0,0,0,1,0,1,"niską, szpitala"
ą,om,1,0,0,0,0,1,niską
c,ch,0,0,0,1,0,1,ulicą
ac,es,1,0,0,0,0,1,słowackiego
ł,kl,1,0,0,0,0,1,słowackiego
sk,sz,0,0,0,1,0,1,sklepu
y,a,0,0,0,0,1,1,nazywa
ść,szt,0,0,0,1,0,1,iść
ć,c,0,0,0,1,0,1,iść
cj,sz,0,0,0,0,1,1,stacja
ó,a,0,0,0,1,0,1,krótką
am,-,0,0,1,0,0,1,tam
dź,dz,0,0,1,0,0,1,jedź
ack,-,0,0,0,1,0,1,słowackiego
ść,szcz,1,0,0,0,0,1,iść
-,ajd,0,0,0,1,0,1,na
-,amb,0,0,0,0,1,1,na
a,u,0,1,0,0,0,1,tutaj
ś,sz,0,1,0,0,0,1,środku
teką,-,0,0,0,0,1,1,biblioteką
g,-,0,1,0,0,0,1,rogu
zi,ż,0,1,0,0,0,1,zielony
ch,g,0,0,1,0,0,1,jechać
ck,ncz,0,0,0,1,0,1,słowackiego
o,as,0,0,0,1,0,1,słowackiego
sz,zos,0,0,1,0,0,1,szpitalem
ł,j,0,0,0,0,1,1,słowackiego
cki,j,0,0,0,0,1,1,słowackiego
ck,g,0,0,0,0,1,1,słowackiego
dź,ść,1,0,0,0,0,1,idź
idź,-,0,1,0,0,0,1,idź
zy,że,0,0,0,0,1,1,nazywa
dź,kś,0,1,0,0,0,1,idź
-,sz,0,1,0,0,0,1,idź
l,r,1,0,0,0,0,1,sklepem
p,t,1,0,0,0,0,1,sklepem
-,en,0,1,0,0,0,1,sklepem
l,wr,1,0,0,0,0,1,lewo
z,dz,0,1,0,0,0,1,za
z,sz,0,0,1,0,0,1,za
dź,chś,0,1,0,0,0,1,idź
p,g,1,0,0,0,0,1,prawo
sz,za,0,0,0,1,0,1,szpitala
jd,g,0,0,0,1,0,1,znajduje
j,z,1,0,0,0,0,1,znajduje
st,ch,0,1,0,0,0,1,prosto
uj,ywo,1,0,0,0,0,1,znajduje
to,-,0,0,0,1,0,1,prosto
m,-,1,0,0,0,0,1,dom
sz,z,0,0,0,1,0,1,juliusza
-,or,1,0,0,0,0,1,restauracji
ra,-,1,0,0,0,0,1,restauracji
c,ncz,0,0,1,0,0,1,restauracji
cj,ntaż,0,0,0,1,0,1,restauracji
acj,ok,0,0,0,1,0,1,restauracji
tau,o,0,0,0,0,1,1,restauracji
a,-,0,0,0,0,1,1,restauracji
ok,ut,1,0,0,0,0,1,obok
ci,-,1,0,0,0,0,1,skręcić
ę,em,0,1,0,0,0,1,skręcić
ć,śt,1,0,0,0,0,1,skręcić
ć,ak,0,0,1,0,0,1,skręcić
kręc,-,1,0,0,0,0,1,skręcić
cić,cz,0,0,1,0,0,1,skręcić
-,szken,1,0,0,0,0,1,skręcić
i,a,0,0,0,0,1,1,skręcić
ć,k,0,0,0,1,0,1,skręcić
ęc,ocz,1,0,0,0,0,1,skręcić
cić,czen,0,0,0,1,0,1,skręcić
ęcić,enczen,0,0,0,1,0,1,skręcić
ęci,ynczy,0,0,0,1,0,1,skręcić
ci,czy,0,0,0,0,1,1,skręcić
cić,czak,0,0,0,0,1,1,skręcić
cić,czek,0,0,0,0,1,1,skręcić
c,dż,0,0,0,1,0,1,skręcić
w,es,1,0,0,0,0,1,w
w,cz,1,0,0,0,0,1,w
w,dz,0,1,0,0,0,1,w
w,ez,0,1,0,0,0,1,w
iusz,esk,1,0,0,0,0,1,juliusza
w,n,0,0,1,0,0,1,w
w,ob,0,0,0,1,0,1,w
-,res,1,0,0,0,0,1,teatru
ic,cz,0,0,0,1,0,1,ulicę
c,pi,0,0,0,1,0,1,ulicę
cz,c,0,0,1,0,0,1,cztery
t,j,0,0,1,0,0,1,cztery
t,i,0,0,0,0,1,1,cztery
u,o,0,0,0,1,0,1,ulicę
-,ic,0,0,0,0,1,1,i
ę,y,0,0,0,0,1,1,skręć
w,pr,0,0,0,0,1,1,w
e,or,1,0,0,0,0,1,teatru
tr,uk,1,0,0,0,0,1,teatru
e,i,1,0,0,0,0,1,teatru
usz,aniz,0,0,0,1,0,1,juliusza
usz,żas,0,0,1,0,0,1,juliusza
usz,cz,0,0,1,0,0,1,juliusza
-,u,1,0,0,0,0,1,szkoły
rsy,rzi,0,0,0,0,1,1,uniwersytetu
oł,ul,0,0,0,0,1,1,szkoły
ni,-,1,0,0,0,0,1,uniwersytetu
t,ć,1,0,0,0,0,1,uniwersytetu
rsy,szi,0,0,1,0,0,1,uniwersytetu
sy,szi,0,0,1,0,0,1,uniwersytetu
t,ci,0,0,0,0,1,1,uniwersytetu
sz,cz,1,0,0,0,0,1,juliusza
et,-,0,0,0,0,1,1,uniwersytetu
sz,zs,0,0,0,1,0,1,szkoły
