Correcte,Erroné,Nombre d'apprenants,FR,IT,NL,UK,GE,Mots,Mots en API,API (Correcte),API (Erroné)
-,j,11,2,0,4,4,1,"iść, lewo, ulica, ulicą, ulicę, uniwersytetu","ʲiɕt͡ɕ, lɛvɔ, ulʲit͡sa, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃, uɲivɛrsɨtɛtu",-,j
ę,en,11,9,1,0,0,1,"się, skręcisz, skręcić, skręć","ɕɛ̃w̃, skrɛɲt͡ɕiʂ, skrɛɲt͡ɕit͡ɕ, skrɛɲt͡ɕ",ɛ̃w̃ / ɛɲ,ɛn
y,i,11,2,1,2,0,6,uniwersytetu,uɲivɛrsɨtɛtu,ɨ,i
c,s,11,5,2,0,3,1,"restauracji, słowackiego, ulica, ulicą, ulicę","rɛstaurat͡sjʲi, swɔvat͡skʲɛgɔ, ulʲit͡sa, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃",t͡s,s
cz,s,9,0,0,2,1,6,cztery,ʈ͡ʂtɛrɨ,ʈ͡ʂ,s
r,-,9,2,0,0,4,3,"dobrą, numer, prosto, proszę, skręcić, teatru, uniwersytetu","dɔbrɔ̃w̃, numɛr, prɔstɔ, prɔʂɛ̃w̃, skrɛɲt͡ɕit͡ɕ, tɛatru, uɲivɛrsɨtɛtu",r,-
-,n,9,2,1,1,2,3,"prosto, restauracji, skręcić, słowackiego, za","prɔstɔ, rɛstaurat͡sjʲi, skrɛɲt͡ɕit͡ɕ, swɔvat͡skʲɛgɔ, za",-,n
ci,cza,9,0,0,1,0,8,skręcić,skrɛɲt͡ɕit͡ɕ,ɕi,ʈ͡ʂa
o,-,8,1,0,0,1,6,prosto,prɔstɔ,ɔ,-
-,t,7,3,0,3,0,1,"proszę, sklepem, sklepu, za","prɔʂɛ̃w̃, sklɛpɛm, sklɛpu, za",-,t
sz,sk,7,6,1,0,0,0,juliusza,julʲuʂa,ʂ,sk
s,-,7,1,1,3,0,2,"prosto, skrzyżowaniem, skręcić","prɔstɔ, skʂɨʐɔvaɲɛm, skrɛɲt͡ɕit͡ɕ",s,-
t,-,7,3,0,1,1,2,"cztery, jest","ʈ͡ʂtɛrɨ, jɛst",t,-
sz,os,6,4,1,1,0,0,"szpitala, szpitalem, szpitalu","ʂpʲitala, ʂpʲitalɛm, ʂpʲitalu",ʂ,ɔs
u,-,6,1,0,1,1,3,"juliusza, restauracji, uwaga","julʲuʂa, rɛstaurat͡sjʲi, uvaga",u,-
ć,t,6,0,0,2,3,1,iść,ʲiɕt͡ɕ,t͡ɕ,t
j,ż,5,3,1,0,1,0,juliusza,julʲuʂa,j,ʐ
c,k,5,5,0,0,0,0,"ulica, ulicą, ulicę","ulʲit͡sa, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃",t͡s,k
o,a,5,2,0,0,1,2,"obok, prosto, szkoły, słowackiego","ɔbɔk, prɔstɔ, ʂkɔwɨ, swɔvat͡skʲɛgɔ",ɔ,a
au,-,5,0,0,0,5,0,restauracji,rɛstaurat͡sjʲi,au,-
o,u,5,3,1,0,0,1,"obok, szkoły","ɔbɔk, ʂkɔwɨ",ɔ,u
-,s,5,3,1,1,0,0,"cztery, i, kowalskich, słowackiego","ʈ͡ʂtɛrɨ, i, kɔvalskʲix, swɔvat͡skʲɛgɔ",-,s
-,k,4,0,1,2,0,1,juliusza,julʲuʂa,-,k
z,-,4,2,0,0,2,0,znajduje,znajdujɛ,z,-
sz,hos,4,1,0,2,0,1,szpitalem,ʂpʲitalɛm,ʂ,hɔs
ic,-,4,0,2,0,0,2,"ulica, ulicą, ulicę","ulʲit͡sa, ulʲit͡sɔ̃w̃, ulʲit͡sɛ̃w̃",ʲit͡s,-
er,-,4,0,0,1,0,3,numer,numɛr,ɛr,-
c,czi,4,0,0,4,0,0,"ulica, ulicę","ulʲit͡sa, ulʲit͡sɛ̃w̃",t͡s,ʈ͡ʂʲ
skrz,sz,4,0,2,0,0,2,"skrzyżowania, skrzyżowaniem, skrzyżowaniu","skʂɨʐɔvaɲa, skʂɨʐɔvaɲɛm, skʂɨʐɔvaɲu",skʂ,ʂ
a,e,4,0,0,2,0,2,prawo,pravɔ,a,ɛ
o,eu,4,0,0,0,4,0,"prawo, prosto, słowackiego","pravɔ, prɔstɔ, swɔvat͡skʲɛgɔ",ɔ,ɛu
-,on,4,0,4,0,0,0,ulicę,ulʲit͡sɛ̃w̃,-,ɔn
s,c,3,2,0,1,0,0,"jest, się","jɛst, ɕɛ̃w̃",s / ɕ,t͡s / t͡ɕ
ł,k,3,2,0,1,0,0,słowackiego,swɔvat͡skʲɛgɔ,w,k
t,cz,3,0,2,0,1,0,"teatru, uniwersytetu","tɛatru, uɲivɛrsɨtɛtu",t,ʈ͡ʂ
ść,dź,3,3,0,0,0,0,iść,ʲiɕt͡ɕ,ɕt͡ɕ,t͡ɕ
ć,ś,3,2,1,0,0,0,skręcić,skrɛɲt͡ɕit͡ɕ,t͡ɕ,ɕ
c,dz,3,0,0,2,1,0,skręcić,skrɛɲt͡ɕit͡ɕ,t͡ɕ,d͡ʑ
c,sz,3,2,0,0,1,0,"ulica, ulicę","ulʲit͡sa, ulʲit͡sɛ̃w̃",t͡ɕ,ʂ
l,-,3,0,1,0,0,2,"kowalskich, szpitalem","kɔvalskʲix, ʂpʲitalɛm",l,-
o,e,3,1,0,0,0,2,"obok, prosto","ɔbɔk, prɔstɔ",ɔ,ɛ
c,ls,3,2,0,1,0,0,słowackiego,swɔvat͡skʲɛgɔ,t͡ɕ,ls
,,,,,,,,,,,jɛt͡ɕ
,,,,,,,,,,,
,,,,,,,,,,,"jɛst, ɕɛ̃w̃"
,,,,,,,,,,,
,,,,,,,,,,,"dɔm, ʂkɔwɨ"
,,,,,,,,,,,"dɔbrɔ̃w̃, prɔstɔ"
,,,,,,,,,,,
,,,,,,,,,,,nazɨva
,,,,,,,,,,,prɔʂɛ̃w̃
,,,,,,,,,,,nazɨva
,,,,,,,,,,,
,,,,,,,,,,,"skrɛɲt͡ɕiʂ, skrɛɲt͡ɕit͡ɕ"
