forme incorrecte,cas,forme correcte,cas correct,correspondance,FR,IT,NL,UK,GE
ulisze,Nom,ulicę,Acc,différent,0,0,0,1,0
ulisja,Nom,ulicę,Acc,différent,0,0,0,2,0
ulisę,,ulicę,Acc,différent,0,0,0,1,0
ulicz,Nom,ulicę,Acc,différent,0,0,0,1,0
julisa,Acc,ulicę,Acc,identique,0,0,0,1,0
ulisję,Acc,ulicę,Acc,identique,0,0,0,1,0
ulipia,,ulicę,Acc,différent,0,0,0,1,0
alika,Nom,ulicę,Acc,différent,0,0,0,1,0
ulcze,Acc,ulicę,Acc,identique,0,0,0,1,0
juliuska,Nom,juliusza,Nom,identique,5,0,0,0,1
julius,Nom,juliusza,Nom,identique,1,0,0,0,0
żuliuska,Nom,juliusza,Nom,identique,2,1,0,0,0
dżulieska,Nom,juliusza,Nom,identique,1,0,0,1,0
juleska,Nom,juliusza,Nom,identique,1,0,0,0,0
julieska,Nom,juliusza,Nom,identique,1,0,0,0,0
julucza,,juliusza,Nom,différent,1,0,0,0,0
żuliusa,Gen,juliusza,Nom,différent,1,0,0,0,0
juliuszka,Nom,juliusza,Nom,identique,0,2,0,0,1
julusza,Nom,juliusza,Nom,identique,0,1,2,0,1
juliuszko,,juliusza,Nom,différent,0,1,0,0,0
juliaszka,Nom,juliusza,Nom,identique,0,0,1,0,0
julicza,Nom,juliusza,Nom,identique,0,0,1,0,0
dżulius,Gen,juliusza,Nom,différent,0,0,1,0,0
julieszka,Nom,juliusza,Nom,identique,0,0,1,0,0
juliusz,Nom,juliusza,Nom,identique,0,0,1,0,0
juliżasi,Nom,juliusza,Nom,identique,0,0,1,0,0
żulianizi,Nom,juliusza,Nom,identique,0,0,0,1,0
żulius,Nom,juliusza,Nom,identique,0,0,0,1,0
juliske,Nom,juliusza,Nom,identique,0,0,0,1,0
juliuza,Gen,juliusza,Nom,différent,0,0,0,1,0
juliaska,Nom,juliusza,Nom,identique,0,0,0,1,0
juliusa,Gen,juliusza,Nom,différent,0,0,0,1,1
dżuliaska,Nom,juliusza,Nom,identique,0,0,0,1,0
julisze,,juliusza,Nom,différent,0,0,0,0,1
juliska,Nom,juliusza,Nom,identique,0,0,0,0,1
juliszka,Nom,juliusza,Nom,identique,0,0,0,0,1
juliuse,,juliusza,Nom,différent,0,0,0,0,1
dobra,Nom,dobrą,Ins,différent,12,8,11,10,5
dobron,Gen,dobrą,Ins,différent,1,5,0,0,0
dobry,Nom,dobrą,Ins,différent,1,0,0,0,0
dobre,Acc,dobrą,Ins,différent,1,0,0,2,0
dobru,Dat,dobrą,Ins,différent,0,1,0,0,0
dorba,Nom,dobrą,Ins,différent,0,0,0,1,0
kowalski,Nom,kowalskich,Gen,différent,1,4,5,3,3
kowalskiego,Gen,kowalskich,Gen,identique,1,0,0,0,0
kowalska,Nom,kowalskich,Gen,différent,1,0,0,0,1
skowalski,Nom,kowalskich,Gen,différent,1,1,0,0,0
kowaski,Nom,kowalskich,Gen,différent,0,2,0,0,0
kowal,Nom,kowalskich,Gen,différent,0,1,0,0,0
ospital,Nom,szpitala,Gen,différent,1,1,0,0,0
spita,Nom,szpitala,Gen,différent,1,0,0,0,0
oszpital,Nom,szpitala,Gen,différent,1,1,0,0,0
spital,,szpitala,Gen,différent,1,1,0,3,0
szpitalu,Gen,szpitala,Gen,identique,1,5,1,0,0
szpital,Nom,szpitala,Gen,différent,0,1,2,2,0
szpitalem,Ins,szpitala,Gen,différent,0,1,0,0,1
spitalu,Gen,szpitala,Gen,identique,0,1,0,1,1
spitalem,Ins,szpitala,Gen,différent,0,2,0,0,0
szpitale,Nom,szpitala,Gen,différent,0,1,0,0,0
zapital,Nom,szpitala,Gen,différent,0,0,0,1,0
spytal,Nom,szpitala,Gen,différent,0,0,0,1,0
spitala,,szpitala,Gen,différent,0,0,0,0,1
grawo,,prawo,Nom,différent,1,0,0,0,0
brawo,,prawo,Nom,différent,0,0,1,0,0
prewo,Nom,prawo,Nom,identique,0,0,2,0,2
praweu,Dat,prawo,Nom,différent,0,0,0,3,0
prawou,Nom,prawo,Nom,identique,0,0,0,1,0
restorancja,Nom,restauracji,Gen,différent,1,0,0,0,0
restoraucje,Nom,restauracji,Gen,différent,1,0,0,0,0
restoracja,Nom,restauracji,Gen,différent,2,0,5,2,4
restoraczje,Nom,restauracji,Gen,différent,1,0,0,0,0
restauracja,Nom,restauracji,Gen,différent,1,4,0,0,0
restaurasja,Nom,restauracji,Gen,différent,0,1,0,0,0
restaracja,Nom,restauracji,Gen,différent,0,0,1,0,1
restoranczja,Nom,restauracji,Gen,différent,0,0,1,0,0
restoraczja,Nom,restauracji,Gen,différent,0,0,1,0,0
restrantaże,Nom,restauracji,Gen,différent,0,0,0,1,0
restaracji,Gen,restauracji,Gen,identique,0,0,0,1,0
restoroka,Nom,restauracji,Gen,différent,0,0,0,1,0
restracji,Gen,restauracji,Gen,identique,0,0,0,3,0
restraca,Nom,restauracji,Gen,différent,0,0,0,1,0
restoranca,Nom,restauracji,Gen,différent,0,0,0,1,0
restracje,Nom,restauracji,Gen,différent,0,0,0,1,0
restoracje,Nom,restauracji,Gen,différent,0,0,0,0,1
resorancja,Nom,restauracji,Gen,différent,0,0,0,0,1
restorac,Gen,restauracji,Gen,identique,0,0,0,0,1
resturacja,Nom,restauracji,Gen,différent,0,0,0,0,1
teatr,Nom,teatru,Gen,différent,2,4,7,1,1
restorauk,Gen,teatru,Gen,identique,1,0,0,0,0
teatry,Ins,teatru,Gen,différent,1,0,0,0,0
tiatr,Nom,teatru,Gen,différent,1,0,0,0,0
teatra,Nom,teatru,Gen,différent,0,1,0,0,0
teatsz,,teatru,Gen,différent,0,1,0,0,0
teatszem,Ins,teatru,Gen,différent,0,1,0,0,0
teatre,,teatru,Gen,différent,0,3,0,4,3
teat,Gen,teatru,Gen,identique,0,0,0,1,1
tieat,Gen,teatru,Gen,identique,0,0,0,1,0
teaczre,Nom,teatru,Gen,différent,0,0,0,2,0
teaczra,,teatru,Gen,différent,0,0,0,1,0
tieatr,Nom,teatru,Gen,différent,0,0,0,1,0
teatu,Gen,teatru,Gen,identique,0,0,0,0,1
teatrem,Ins,teatru,Gen,différent,0,0,0,0,1
tieatre,Nom,teatru,Gen,différent,0,0,0,0,1
skola,Nom,szkoły,Gen,différent,2,1,2,1,2
skała,,szkoły,Gen,différent,1,0,0,0,0
skoly,,szkoły,Gen,différent,1,1,0,0,1
skuole,,szkoły,Gen,différent,1,0,0,0,0
szkola,Nom,szkoły,Gen,différent,0,1,4,4,1
szkuła,,szkoły,Gen,différent,0,1,0,0,0
skoły,Nom,szkoły,Gen,différent,0,2,0,0,1
skołe,Nom,szkoły,Gen,différent,0,1,1,0,0
szkoly,Ins,szkoły,Gen,différent,0,1,0,0,0
skole,Nom,szkoły,Gen,différent,0,1,0,0,5
szkoła,Nom,szkoły,Gen,différent,0,0,3,1,1
zskola,Nom,szkoły,Gen,différent,0,0,0,1,0
skoła,Nom,szkoły,Gen,différent,0,0,0,1,1
szkole,Dat,szkoły,Gen,différent,0,0,0,1,0
szkula,Nom,szkoły,Gen,différent,0,0,0,0,1
szkolu,Gen,szkoły,Gen,identique,0,0,0,0,1
juwersytet,Nom,uniwersytetu,Gen,différent,1,0,0,0,0
uniwersytet,Nom,uniwersytetu,Gen,différent,1,0,3,1,0
uniwersitet,Nom,uniwersytetu,Gen,différent,1,1,1,0,5
uniwersiteć,Nom,uniwersytetu,Gen,différent,1,0,0,0,0
uniwersyteczem,Ins,uniwersytetu,Gen,différent,0,1,0,0,0
uniwersytecze,Nom,uniwersytetu,Gen,différent,0,1,0,0,0
uniweszitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
uniwerszitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
juniwersitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
juniwersitecz,,uniwersytetu,Gen,différent,0,0,0,1,0
uniwersitecia,Gen,uniwersytetu,Gen,identique,0,0,0,0,1
uniwezitet,Acc,uniwersytetu,Gen,différent,0,0,0,0,1
uniwersitete,Ins,uniwersytetu,Gen,différent,0,0,0,0,1
uniwesytietu,Gen,uniwersytetu,Gen,identique,0,0,0,0,1
uniwezite,Nom,uniwersytetu,Gen,différent,0,0,0,0,1
uniwerzitet,Nom,uniwersytetu,Gen,différent,0,0,0,0,1
do,,dom,Nom,différent,1,0,0,0,0
domu,Gen,dom,Nom,différent,0,2,0,0,0
doma,Nom,dom,Nom,identique,0,0,0,1,0
zdom,Dat,dom,Nom,différent,0,0,0,0,1
szpitalu,Gen,szpitalem,Ins,différent,4,2,1,0,1
ospitalem,Ins,szpitalem,Ins,identique,2,1,0,0,0
oszpital,Nom,szpitalem,Ins,différent,1,0,0,0,0
hospitalem,Ins,szpitalem,Ins,identique,1,0,0,0,1
hospitalu,Gen,szpitalem,Ins,différent,1,0,0,0,0
oszpitalu,Gen,szpitalem,Ins,différent,0,2,0,0,0
oszpitalem,Ins,szpitalem,Ins,identique,0,1,0,0,0
szpitale,Nom,szpitalem,Ins,différent,0,1,0,0,1
spitalem,Ins,szpitalem,Ins,identique,0,1,1,0,5
szpital,Nom,szpitalem,Ins,différent,0,1,4,3,1
spitala,,szpitalem,Ins,différent,0,1,0,0,0
hospital,Nom,szpitalem,Ins,différent,0,0,2,0,0
spital,,szpitalem,Ins,différent,0,0,2,3,1
ospital,Nom,szpitalem,Ins,différent,0,0,1,0,1
zospitalu,Gen,szpitalem,Ins,différent,0,0,1,0,0
spitae,Acc,szpitalem,Ins,différent,0,0,0,0,1
spitalu,Gen,szpitalem,Ins,différent,0,0,0,0,1
szpitaem,Nom,szpitalem,Ins,différent,0,0,0,0,1
szpita,Nom,szpitalem,Ins,différent,0,0,0,0,1
spitale,Nom,szpitalem,Ins,différent,0,0,0,0,1
dobre,Acc,dobra,Nom,différent,2,1,2,0,0
dobry,Nom,dobra,Nom,identique,0,0,1,0,0
dobrej,Gen,dobra,Nom,différent,0,0,0,0,1
waga,Nom,uwaga,Nom,identique,1,0,0,0,0
ulice,Acc,ulicy,Gen,différent,1,0,0,0,0
ulic,Gen,ulicy,Gen,identique,1,0,0,0,0
ulica,Nom,ulicy,Gen,différent,0,4,1,0,4
ulidza,,ulicy,Gen,différent,0,1,0,0,0
ulicza,Gen,ulicy,Gen,identique,0,0,3,0,1
dobre,Acc,dobrej,Gen,différent,3,2,0,0,0
dobry,Nom,dobrej,Gen,différent,0,1,0,0,0
dobra,Nom,dobrej,Gen,différent,0,3,4,0,5
sklep,Nom,sklepu,Gen,différent,3,5,3,5,2
sklepem,Ins,sklepu,Gen,différent,1,1,0,0,0
sklept,Nom,sklepu,Gen,différent,2,0,0,0,0
sklepts,Nom,sklepu,Gen,différent,1,0,0,0,0
szklepe,Ins,sklepu,Gen,différent,0,1,0,0,0
szklepu,Nom,sklepu,Gen,différent,0,1,1,0,0
sklepe,Ins,sklepu,Gen,différent,0,1,0,0,0
szklep,Nom,sklepu,Gen,différent,0,1,6,0,0
sklepd,Nom,sklepu,Gen,différent,0,1,0,0,0
szlep,Nom,sklepu,Gen,différent,0,0,0,1,0
skelp,,sklepu,Gen,différent,0,0,0,1,0
slepu,Gen,sklepu,Gen,identique,0,0,0,0,1
slołackiego,Gen,słowackiego,Ins,différent,1,0,0,0,0
slowakiego,Gen,słowackiego,Ins,différent,1,1,1,1,4
skołaskiego,Gen,słowackiego,Ins,différent,1,0,0,0,0
skowalskiego,Acc,słowackiego,Ins,différent,2,0,1,0,0
słowaskiego,Gen,słowackiego,Ins,différent,1,2,0,0,0
sloweskiego,Gen,słowackiego,Ins,différent,1,0,0,0,0
sklowiańkiego,Gen,słowackiego,Ins,différent,1,0,0,0,0
sowaskiega,,słowackiego,Ins,différent,1,0,0,0,0
slowackiego,Gen,słowackiego,Ins,différent,1,0,1,1,4
słowaksjego,Gen,słowackiego,Ins,différent,0,1,0,0,0
słowockiego,Gen,słowackiego,Ins,différent,0,1,0,0,0
słowacjego,Gen,słowackiego,Ins,différent,0,2,0,0,0
słowasjego,Gen,słowackiego,Ins,différent,0,1,0,0,0
szlowatsjego,Gen,słowackiego,Ins,différent,0,1,0,0,0
szlowakiego,Gen,słowackiego,Ins,différent,0,0,1,0,0
slowaczkiego,Gen,słowackiego,Ins,différent,0,0,1,0,0
szłowackiego,Gen,słowackiego,Ins,différent,0,0,1,0,1
słowaczkiego,Gen,słowackiego,Ins,différent,0,0,1,0,0
slowacziego,Gen,słowackiego,Ins,différent,0,0,1,0,0
słowaksiego,Gen,słowackiego,Ins,différent,0,0,1,0,0
slowłasigo,Gen,słowackiego,Ins,différent,0,0,0,1,0
stowancziengeu,Nom,słowackiego,Ins,différent,0,0,0,1,0
słowakiego,Acc,słowackiego,Ins,différent,0,0,0,2,1
słaswiego,Gen,słowackiego,Ins,différent,0,0,0,1,0
sjowackie,Nom,słowackiego,Ins,différent,0,0,0,0,1
slowajego,Gen,słowackiego,Ins,différent,0,0,0,0,1
sławagiego,Gen,słowackiego,Ins,différent,0,0,0,0,1
skret,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepu,Gen,sklepem,Ins,différent,4,0,0,0,8
sklebe,Ins,sklepem,Ins,identique,1,0,0,0,0
sklept,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepts,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepen,,sklepem,Ins,différent,0,1,0,0,0
szklepe,Ins,sklepem,Ins,identique,0,2,1,2,0
sklep,Nom,sklepem,Ins,différent,0,1,7,2,5
sklepiem,Ins,sklepem,Ins,identique,0,1,0,1,1
szklep,Nom,sklepem,Ins,différent,0,0,6,0,0
szklepem,Ins,sklepem,Ins,identique,0,0,0,4,0
ulisze,Nom,ulica,Nom,identique,1,0,0,0,0
ulika,,ulica,Nom,différent,1,0,0,0,0
ulice,Acc,ulica,Nom,différent,0,1,1,0,0
uliczia,Acc,ulica,Nom,différent,0,0,2,0,0
ulicza,Gen,ulica,Nom,différent,0,0,3,0,3
ulicia,Gen,ulica,Nom,différent,0,0,1,0,0
julicza,Nom,ulica,Nom,identique,0,0,1,0,0
jul,Nom,ulica,Nom,identique,0,0,0,0,1
uli,Gen,ulica,Nom,différent,0,0,0,0,1
ulic,Gen,ulica,Nom,différent,0,0,0,0,1
ulisa,Acc,ulica,Nom,différent,0,0,0,0,2
park,Nom,parku,Gen,différent,1,1,2,1,1
numero,,numer,Nom,différent,1,0,0,0,2
numier,Nom,numer,Nom,identique,1,0,0,0,0
nume,Ins,numer,Nom,différent,0,0,1,0,3
numeu,Nom,numer,Nom,identique,0,0,0,1,0
teatra,Nom,teatrem,Ins,différent,1,0,0,0,0
teatr,Nom,teatrem,Ins,différent,0,1,1,0,0
ospitalu,Gen,szpitalu,Gen,identique,1,0,0,0,0
szrodku,Gen,środku,Gen,identique,0,1,0,0,0
szyżowani,Nom,skrzyżowania,Nom,identique,0,1,0,0,0
szyżowanie,Nom,skrzyżowania,Nom,identique,0,0,0,0,1
rou,Ins,rogu,Gen,différent,0,1,0,0,0
szyżowanie,Nom,skrzyżowaniu,Dat,différent,0,1,0,0,0
szklep,Nom,sklep,Nom,identique,0,1,0,0,0
biblioteke,,biblioteki,Gen,différent,0,1,0,0,0
biblioteka,Nom,biblioteki,Gen,différent,0,0,1,0,3
bibliotek,Gen,biblioteki,Gen,identique,0,0,0,1,0
biblioteku,Gen,biblioteki,Gen,identique,0,0,0,0,2
krzyżowanie,,skrzyżowaniem,Ins,différent,0,1,0,0,0
szyżowanie,Nom,skrzyżowaniem,Ins,différent,0,0,0,0,1
rzeżowanie,Nom,skrzyżowaniem,Ins,différent,0,0,0,0,1
żelony,Nom,zielony,Nom,identique,0,1,0,0,0
zielon,Nom,zielony,Nom,identique,0,0,1,0,0
staczja,Nom,stacji,Gen,différent,0,0,2,0,0
numero,,numery,Nom,différent,0,0,1,0,0
lewe,Nom,lewej,Gen,différent,0,0,1,0,0
kratika,Gen,krótką,Ins,différent,0,0,0,1,0
hotelu,Gen,hotelem,Ins,différent,0,0,0,0,1
teatre,,teatr,Nom,différent,0,0,0,0,1
stasza,Nom,stacja,Nom,identique,0,0,0,0,1
restauracja,Nom,restauracją,Ins,différent,0,0,0,0,1
biblio,Ins,biblioteką,Ins,identique,0,0,0,0,1
parku,Gen,parkiem,Ins,différent,0,0,0,0,1
