Forme correcte,Forme erronée (manuel),Correcte,Erroné,FR,IT,NL,UK,GE,Nombre d'apprenants,Apprenants
sklepem,szklepe,s,sz,0,2,1,2,0,5,"2102, 3112, 3114, 5104, 5118"
niską,niszka,s,sz,2,1,1,0,0,4,"1110, 1118, 2117, 5113"
sklepem,szklepem,s,sz,0,0,0,4,0,4,"3107, 3108, 3115, 3116"
prosto,proszto,s,sz,0,0,0,3,0,3,"3115, 3116, 3119"
się,szię,s,sz,0,1,0,0,2,3,"4101, 4110, 5101"
sklepu,szklepu,s,sz,0,1,1,0,0,2,"2104, 5119"
słowackiego,szłowackiego,s,sz,0,0,1,0,1,2,"2113, 4108"
niską,niszkon,s,sz,0,1,0,0,0,1,5106
skręcić,szkręcza,s,sz,0,0,1,0,0,1,2106
skręcić,szkręczać,s,sz,0,0,1,0,0,1,2106
prosto,proszte,s,sz,0,1,0,0,0,1,5117
skręcisz,szkrencisz,s,sz,1,0,0,0,0,1,1110
sklepu,szklepe,s,sz,0,1,0,0,0,1,5104
sklep,szklep,s,sz,0,1,0,0,0,1,5111
juliusza,juliuska,sz,sk,5,0,0,0,1,6,"1104, 1112, 1114, 1116, 1119, 4101"
juliusza,żuliuska,sz,sk,2,1,0,0,0,3,"1103, 1115, 5113"
iść,iśt,ć,t,0,0,2,3,1,6,"2114, 2118, 3103, 3114, 3117, 4115"
iść,iśte,ć,t,0,0,0,1,0,1,3115
za,zna,-,n,1,0,1,0,3,5,"1118, 2106, 4101, 4115, 4119"
skręcić,skręcinć,-,n,0,0,0,1,0,1,3109
prosto,prochon,-,n,0,1,0,0,0,1,5113
restauracji,restorancja,-,n,1,0,0,0,0,1,1120
restauracji,restoranca,-,n,0,0,0,1,0,1,3104
restauracji,resorancja,-,n,0,0,0,0,1,1,4123
słowackiego,stowancziengeu,-,n,0,0,0,1,0,1,3117
iść,idź,ść,dź,5,0,0,0,0,5,"1104, 1108, 1113, 1114, 1115"
ulicę,ulicon,-,on,0,4,0,0,0,4,"5101, 5107, 5118, 5119"
prawo,prewo,a,e,0,0,2,0,2,4,"2101, 2107, 4105, 4110"
numer,nume,er,-,0,0,1,0,3,4,"2103, 4114, 4117, 4120"
juliusza,julusza,i,-,0,1,2,0,1,4,"2114, 2119, 4112, 5106"
juliusza,julucza,i,-,1,0,0,0,0,1,1105
skrzyżowania,szyżowani,i,-,0,1,0,0,0,1,5117
parkiem,parku,i,-,0,0,0,0,1,1,4103
prosto,proste,o,-,1,0,0,2,1,4,"1117, 3102, 3105, 4105"
prosto,prostu,o,-,0,0,0,0,4,4,"4108, 4109, 4110, 4113"
prosto,proszte,o,-,0,1,0,0,0,1,5117
prosto,prasta,o,-,0,0,0,1,0,1,3105
prosto,prosta,o,-,0,0,0,0,1,1,4105
prosto,prastu,o,-,0,0,0,0,1,1,4102
obok,obek,o,e,0,0,0,1,3,4,"3104, 4104, 4106, 4108"
prosto,presto,o,e,1,0,0,0,0,1,1101
skręcić,kręcić,s,-,0,0,2,0,2,4,"2102, 2114, 4106, 4108"
prosto,proto,s,-,1,0,0,0,1,2,"1120, 4115"
skręcić,kręciks,s,-,0,0,1,0,0,1,2101
skrzyżowaniem,krzyżowanie,s,-,0,1,0,0,0,1,5102
cztery,czery,t,-,3,0,0,1,0,4,"1115, 1118, 1120, 3107"
jest,jes,t,-,0,0,1,0,3,4,"2104, 4108, 4115, 4117"
sklepem,sklepiem,-,i,0,1,0,1,1,3,"3104, 4115, 5102"
ulicą,ulicia,-,i,0,0,1,0,0,1,2114
niską,niskie,-,i,0,0,0,0,1,1,4103
ulicę,ulicia,-,i,0,0,1,0,0,1,2114
kowalskich,kowalskiego,-,i,1,0,0,0,0,1,1119
teatru,tieat,-,i,0,0,0,1,0,1,3112
teatru,tieatr,-,i,0,0,0,1,0,1,3113
teatru,tieatre,-,i,0,0,0,0,1,1,4110
uniwersytetu,uniwesytietu,-,i,0,0,0,0,1,1,4103
słowackiego,sklowiańkiego,-,i,1,0,0,0,0,1,1101
ulica,ulicia,-,i,0,0,1,0,0,1,2114
numer,numier,-,i,1,0,0,0,0,1,1106
krótką,kratika,-,i,0,0,0,1,0,1,3105
ulicą,ulicja,-,j,0,0,1,2,0,3,"2113, 3102, 3113"
ulicę,ulicja,-,j,0,0,0,2,0,2,"3102, 3113"
iść,jiść,-,j,0,0,1,0,0,1,2105
ulicą,julisa,-,j,0,0,0,1,0,1,3104
ulicę,julisa,-,j,0,0,0,1,0,1,3104
uniwersytetu,juwersytet,-,j,1,0,0,0,0,1,1120
uniwersytetu,juniwersitet,-,j,0,0,1,0,0,1,2107
uniwersytetu,juniwersitecz,-,j,0,0,0,1,0,1,3106
ulica,julicza,-,j,0,0,1,0,0,1,2107
ulica,jul,-,j,0,0,0,0,1,1,4109
lewo,ljewo,-,j,1,0,0,0,0,1,1113
juliusza,juliuszka,-,k,0,2,0,0,1,3,"4108, 5101, 5105"
juliusza,juliaszka,-,k,0,0,1,0,0,1,2103
juliusza,julieszka,-,k,0,0,1,0,0,1,2106
juliusza,juliszka,-,k,0,0,0,0,1,1,4119
numer,numero,-,o,1,0,0,0,2,3,"1118, 4108, 4122"
szpitala,oszpital,-,o,1,1,0,0,0,2,"1118, 5111"
szpitalem,oszpitalu,-,o,0,2,0,0,0,2,"5105, 5112"
w,wo,-,o,0,0,1,0,0,1,2107
szpitalem,oszpital,-,o,1,0,0,0,0,1,1118
szpitalem,oszpitalem,-,o,0,1,0,0,0,1,5107
za,zo,-,o,0,0,0,1,0,1,3113
numery,numero,-,o,0,0,1,0,0,1,2118
za,tza,-,t,0,0,3,0,0,3,"2113, 2114, 2118"
sklepu,sklept,-,t,2,0,0,0,0,2,"1117, 1118"
sklepem,sklept,-,t,1,0,0,0,0,1,1118
proszę,prosztę,-,t,0,0,0,0,1,1,4120
restauracji,restracji,au,-,0,0,0,3,0,3,"3109, 3112, 3118"
restauracji,restrantaże,au,-,0,0,0,1,0,1,3102
restauracji,restraca,au,-,0,0,0,1,0,1,3114
restauracji,restracje,au,-,0,0,0,1,0,1,3108
skręcić,skrędzić,c,dz,0,0,2,1,0,3,"2107, 2120, 3108"
ulicą,ulidze,c,dz,0,1,0,0,0,1,5120
skręcić,strędzisz,c,dz,0,0,0,1,0,1,3101
skręcisz,strędzisz,c,dz,0,0,0,1,0,1,3101
ulicy,ulidza,c,dz,0,1,0,0,0,1,5120
ulicą,ulika,c,k,2,0,0,1,0,3,"1108, 1118, 3105"
ulicę,ulika,c,k,2,0,0,0,0,2,"1108, 1118"
ulicą,alika,c,k,0,0,0,1,0,1,3105
ulicę,alika,c,k,0,0,0,1,0,1,3105
ulica,ulika,c,k,1,0,0,0,0,1,1118
słowackiego,skowalskiego,c,ls,2,0,1,0,0,3,"1106, 1113, 2103"
ulicę,ulisa,c,s,1,0,0,2,0,3,"1120, 3103, 3109"
słowackiego,słowaskiego,c,s,1,2,0,0,0,3,"1118, 5109, 5111"
ulicą,ulisa,c,s,1,0,0,1,0,2,"1120, 3109"
ulica,ulisa,c,s,0,0,0,0,2,2,"4108, 4115"
ulicą,julisa,c,s,0,0,0,1,0,1,3104
ulicę,ulisę,c,s,0,0,0,1,0,1,3114
ulicę,julisa,c,s,0,0,0,1,0,1,3104
restauracji,restaurasja,c,s,0,1,0,0,0,1,5112
słowackiego,skołaskiego,c,s,1,0,0,0,0,1,1116
słowackiego,sowaskiega,c,s,1,0,0,0,0,1,1115
juliusza,żuliuska,j,ż,2,1,0,0,0,3,"1103, 1115, 5113"
juliusza,żuliusa,j,ż,1,0,0,0,0,1,1106
juliusza,żulianizi,j,ż,0,0,0,1,0,1,3102
juliusza,żulius,j,ż,0,0,0,1,0,1,3103
prawo,praweu,o,eu,0,0,0,3,0,3,"3104, 3105, 3112"
prosto,prosteu,o,eu,0,0,0,2,0,2,"3112, 3117"
prosto,preusto,o,eu,0,0,0,1,0,1,3104
obok,eubok,o,eu,0,0,0,1,0,1,3105
słowackiego,stowancziengeu,o,eu,0,0,0,1,0,1,3117
się,zię,s,z,0,0,0,2,1,3,"3115, 3118, 4106"
szpitalem,ospitalem,sz,os,2,1,0,0,0,3,"1103, 1110, 5109"
szpitala,ospital,sz,os,1,1,0,0,0,2,"1120, 5112"
szpitalem,ospital,sz,os,0,0,1,0,1,2,"2117, 4108"
szpitalu,ospitalu,sz,os,1,0,0,0,0,1,1115
znajduje,najduje,z,-,1,0,0,2,0,3,"1108, 3113, 3118"
znajduje,naduje,z,-,2,0,0,0,0,2,"1105, 1115"
znajduje,naguje,z,-,0,0,0,1,0,1,3112
skręcić,skrencić,ę,en,2,1,0,0,0,3,"1104, 1119, 5111"
skręcić,skrencisz,ę,en,2,0,0,0,0,2,"1110, 1115"
skręcisz,skrencisz,ę,en,2,0,0,0,0,2,"1113, 1116"
skręć,skrenć,ę,en,1,0,0,0,0,1,1106
skręcić,skrenciśt,ę,en,1,0,0,0,0,1,1118
się,sien,ę,en,0,0,0,0,1,1,4112
skręcisz,szkrencisz,ę,en,1,0,0,0,0,1,1110
słowackiego,skowalskiego,ł,k,2,0,1,0,0,3,"1106, 1113, 2103"
skręć,skręcić,-,ci,2,0,0,0,0,2,"1102, 1103"
kowalskich,skowalski,-,s,1,1,0,0,0,2,"1116, 5101"
cztery,scztery,-,s,1,0,0,0,0,1,1116
i,si,-,s,1,0,0,0,0,1,1102
słowackiego,słowaksiego,-,s,0,0,1,0,0,1,2101
na,numa,-,um,1,0,0,0,1,2,"1105, 4103"
ulicę,uliczia,c,czi,0,0,2,0,0,2,"2101, 2113"
ulica,uliczia,c,czi,0,0,2,0,0,2,"2101, 2119"
ulicę,ulisja,c,sj,0,0,0,2,0,2,"3101, 3108"
ulicę,ulisję,c,sj,0,0,0,1,0,1,3108
juliusza,dżulieska,j,dż,1,0,0,1,0,2,"1113, 3101"
juliusza,dżulius,j,dż,0,0,1,0,0,1,2113
juliusza,dżuliaska,j,dż,0,0,0,1,0,1,3105
słowackiego,słowacjego,ki,j,0,2,0,0,0,2,"5116, 5117"
kowalskich,kowaski,l,-,0,2,0,0,0,2,"5114, 5115"
szpitalem,spitae,l,-,0,0,0,0,1,1,4120
szpitalem,szpitaem,l,-,0,0,0,0,1,1,4105
prosto,prasto,o,a,0,0,0,1,1,2,"3105, 4101"
prosto,prastou,o,a,0,0,0,1,0,1,3117
prosto,prasta,o,a,0,0,0,1,0,1,3105
prosto,prastu,o,a,0,0,0,0,1,1,4102
obok,ubak,o,a,1,0,0,0,0,1,1120
obok,obak,o,a,0,0,0,1,0,1,3105
szkoły,skała,o,a,1,0,0,0,0,1,1110
słowackiego,sławagiego,o,a,0,0,0,0,1,1,4106
obok,obuk,o,u,1,0,0,0,1,2,"1115, 4113"
prosto,prusto,o,u,0,0,0,1,0,1,3106
obok,ubak,o,u,1,0,0,0,0,1,1120
obok,ubok,o,u,1,0,0,0,0,1,1120
szkoły,szkuła,o,u,0,1,0,0,0,1,5112
teatru,teat,r,-,0,0,0,1,1,2,"3118, 4101"
proszę,poszę,r,-,1,0,0,1,0,2,"1113, 3113"
dobrą,dorba,r,-,0,0,0,1,0,1,3108
skręcić,skęczać,r,-,0,0,0,0,1,1,4109
prosto,posto,r,-,1,0,0,0,0,1,1113
teatru,tieat,r,-,0,0,0,1,0,1,3112
teatru,teatu,r,-,0,0,0,0,1,1,4103
uniwersytetu,uniwesytietu,r,-,0,0,0,0,1,1,4103
numer,numeu,r,-,0,0,0,1,0,1,3109
szpitalem,hospitalem,sz,hos,1,0,0,0,1,2,"1105, 4106"
szpitalem,hospital,sz,hos,0,0,2,0,0,2,"2101, 2119"
szpitalem,hospitalu,sz,hos,1,0,0,0,0,1,1115
proszę,prożę,sz,ż,0,1,0,1,0,2,"3101, 5104"
teatru,teaczre,t,cz,0,0,0,2,0,2,"3104, 3109"
teatru,teaczra,t,cz,0,0,0,1,0,1,3101
uniwersytetu,uniwersyteczem,t,cz,0,1,0,0,0,1,5101
uniwersytetu,uniwersytecze,t,cz,0,1,0,0,0,1,5111
uniwersytetu,juniwersitecz,t,cz,0,0,0,1,0,1,3106
restauracji,restaracja,u,-,0,0,1,0,1,2,"2111, 4103"
juliusza,julisze,u,-,0,0,0,0,1,1,4109
juliusza,juliszka,u,-,0,0,0,0,1,1,4119
restauracji,restaracji,u,-,0,0,0,1,0,1,3115
uwaga,waga,u,-,1,0,0,0,0,1,1110
juliusza,dżulieska,usz,esk,1,0,0,1,0,2,"1113, 3101"
juliusza,julieska,usz,esk,1,0,0,0,0,1,1118
w,le,w,l,0,0,1,1,0,2,"2119, 3117"
niską,nisko,ą,o,0,1,0,1,0,2,"3107, 5112"
ulicą,ulico,ą,o,0,1,0,0,0,1,5112
skręcić,skrencisz,ć,sz,2,0,0,0,0,2,"1110, 1115"
skręcić,strędzisz,ć,sz,0,0,0,1,0,1,3101
na,najd,-,ajd,0,0,0,1,0,1,3118
na,nambe,-,amb,0,0,0,0,1,1,4101
sklepu,sklepd,-,d,0,1,0,0,0,1,5109
sklepu,skelp,-,e,0,0,0,1,0,1,3106
słowackiego,sowaskiega,-,eg,1,0,0,0,0,1,1115
sklepem,sklepen,-,en,0,1,0,0,0,1,5101
słowackiego,slowłasigo,-,go,0,0,0,1,0,1,3102
i,ic,-,ic,0,0,0,0,1,1,4116
juliusza,juliuszko,-,ko,0,1,0,0,0,1,5118
słowackiego,skołaskiego,-,ko,1,0,0,0,0,1,1116
ulicą,luczi,-,l,0,0,1,0,0,1,2107
słowackiego,slołackiego,-,lo,1,0,0,0,0,1,1108
restauracji,restoraucje,-,or,1,0,0,0,0,1,1110
dobrą,dorba,-,r,0,0,0,1,0,1,3108
prosto,prostro,-,r,0,0,0,1,0,1,3107
teatru,restorauk,-,res,1,0,0,0,0,1,1110
idź,idźsz,-,sz,0,1,0,0,0,1,5120
skręcić,szkensiś,-,szken,1,0,0,0,0,1,1108
sklepu,sklepts,-,ts,1,0,0,0,0,1,1115
sklepem,sklepts,-,ts,1,0,0,0,0,1,1115
szkoły,skuole,-,u,1,0,0,0,0,1,1116
dom,zdom,-,z,0,0,0,0,1,1,4105
na,zna,-,z,0,0,0,1,0,1,3115
słowackiego,slowłasigo,-,ł,0,0,0,1,0,1,3102
lewo,lewoł,-,ł,0,0,0,1,0,1,3101
restauracji,resturacja,a,-,0,0,0,0,1,1,4108
słowackiego,słowockiego,a,o,0,1,0,0,0,1,5104
tutaj,tutuj,a,u,0,1,0,0,0,1,5101
słowackiego,sloweskiego,ac,es,1,0,0,0,0,1,1105
restauracji,restoroka,acj,ok,0,0,0,1,0,1,3103
słowackiego,słaswiego,ack,-,0,0,0,1,0,1,3106
szpitala,spita,al,-,1,0,0,0,0,1,1119
szpitalem,szpita,al,-,0,0,0,0,1,1,4104
tam,ta,am,-,0,0,1,0,0,1,2108
ulicą,elicha,c,ch,0,0,0,1,0,1,3105
skręcić,strędżik,c,dż,0,0,0,1,0,1,3102
restauracji,restoranczja,c,ncz,0,0,1,0,0,1,2106
ulicę,ulipia,c,pi,0,0,0,1,0,1,3105
ulicę,ulisza,c,sz,1,0,0,0,0,1,1103
ulicę,ulisze,c,sz,0,0,0,1,0,1,3109
ulica,ulisze,c,sz,1,0,0,0,0,1,1116
ulicą,uliszia,c,szi,0,0,0,1,0,1,3108
słowackiego,sklowiańkiego,c,ń,1,0,0,0,0,1,1101
jechać,jegać,ch,g,0,0,1,0,0,1,2115
skręcić,skręć,ci,-,1,0,0,0,0,1,1106
skręcić,skręczyć,ci,czy,0,0,0,0,1,1,4103
skręcić,szkręcza,cić,cz,0,0,1,0,0,1,2106
skręcić,skręczak,cić,czak,0,0,0,0,1,1,4105
skręcić,skręczek,cić,czek,0,0,0,0,1,1,4105
skręcić,skręczen,cić,czen,0,0,0,1,0,1,3117
restauracji,restrantaże,cj,ntaż,0,0,0,1,0,1,3102
stacja,stasza,cj,sz,0,0,0,0,1,1,4119
słowackiego,slowacziego,ck,cz,0,0,1,0,0,1,2107
słowackiego,sławagiego,ck,g,0,0,0,0,1,1,4106
słowackiego,stowancziengeu,ck,ncz,0,0,0,1,0,1,3117
słowackiego,slowłasigo,ck,s,0,0,0,1,0,1,3102
słowackiego,slowajego,cki,j,0,0,0,0,1,1,4120
słowackiego,słowasjego,cki,sj,0,1,0,0,0,1,5111
słowackiego,szlowatsjego,cki,tsj,0,1,0,0,0,1,5113
cztery,ctery,cz,c,0,0,1,0,0,1,2111
idź,ichś,dź,chś,0,1,0,0,0,1,5112
jedź,jedz,dź,dz,0,0,1,0,0,1,2102
idź,ikś,dź,kś,0,1,0,0,0,1,5112
idź,iść,dź,ść,1,0,0,0,0,1,1103
sklepu,skelp,e,-,0,0,0,1,0,1,3106
teatru,tiatr,e,i,1,0,0,0,0,1,1106
teatru,restorauk,e,or,1,0,0,0,0,1,1110
uniwersytetu,uniwezite,et,-,0,0,0,0,1,1,4106
rogu,rou,g,-,0,1,0,0,0,1,5111
skręcić,skręcać,i,a,0,0,0,0,1,1,4104
słowackiego,słowaksjego,i,sj,0,1,0,0,0,1,5112
się,stę,i,t,0,0,0,0,1,1,4105
niską,nyska,i,y,0,0,0,1,0,1,3105
szpitala,spytal,i,y,0,0,0,1,0,1,3105
ulicą,uli,ic,-,0,1,0,0,0,1,5104
ulicę,ul,ic,-,0,1,0,0,0,1,5106
ulicę,uli,ic,-,0,1,0,0,0,1,5115
ulica,jul,ic,-,0,0,0,0,1,1,4109
ulica,uli,ic,-,0,0,0,0,1,1,4122
ulicę,ulcze,ic,cz,0,0,0,1,0,1,3106
idź,ich,idź,-,0,1,0,0,0,1,5112
juliusza,juleska,iusz,esk,1,0,0,0,0,1,1118
skręcić,skręca,ić,-,0,0,1,0,0,1,2103
skręcić,skręc,ić,-,0,0,0,0,1,1,4113
znajduje,znazduje,j,z,1,0,0,0,0,1,1110
znajduje,naguje,jd,g,0,0,0,1,0,1,3112
obok,obo,k,-,0,0,0,0,1,1,4117
sklepu,slepu,k,-,0,0,0,0,1,1,4104
skręć,strejć,k,t,1,0,0,0,0,1,1114
skręcić,strędżik,k,t,0,0,0,1,0,1,3102
skręcić,strędzisz,k,t,0,0,0,1,0,1,3101
skręcić,stręcić,k,t,0,0,0,1,0,1,3104
obok,obot,k,t,1,0,0,0,0,1,1104
skręcisz,strędzisz,k,t,0,0,0,1,0,1,3101
skręć,styryć,k,ty,0,0,0,0,1,1,4120
skręcić,szkensiś,kręc,-,1,0,0,0,0,1,1108
sklepem,skret,l,r,1,0,0,0,0,1,1103
lewo,wrewo,l,wr,1,0,0,0,0,1,1105
ulicą,luczi,lic,cz,0,0,1,0,0,1,2107
dom,do,m,-,1,0,0,0,0,1,1120
uniwersytetu,juwersytet,ni,-,1,0,0,0,0,1,1120
słowackiego,słaswiego,o,as,0,0,0,1,0,1,3106
obok,obut,ok,ut,1,0,0,0,0,1,1115
słowackiego,slołackiego,ow,-,1,0,0,0,0,1,1108
słowackiego,skołaskiego,ow,-,1,0,0,0,0,1,1116
szkoły,szkula,oł,ul,0,0,0,0,1,1,4113
prawo,brawo,p,b,0,0,1,0,0,1,2103
sklepem,sklebe,p,b,1,0,0,0,0,1,1113
prawo,grawo,p,g,1,0,0,0,0,1,1120
sklepem,skret,p,t,1,0,0,0,0,1,1103
teatru,teatsz,r,sz,0,1,0,0,0,1,5112
teatru,teatszem,r,sz,0,1,0,0,0,1,5101
restauracji,restoraucje,ra,-,1,0,0,0,0,1,1110
