forme incorrecte,cas,forme correcte,cas correct,correspondance,FR,IT,NL,UK,GE
juliuska,Gen,juliusza,Gen,identique,5,0,0,0,1
julius,Nom,juliusza,Gen,différent,1,0,0,0,0
żuliuska,Gen,juliusza,Gen,identique,2,1,0,0,0
dżulieska,Gen,juliusza,Gen,identique,1,0,0,1,0
juleska,Gen,juliusza,Gen,identique,1,0,0,0,0
julieska,Gen,juliusza,Gen,identique,1,0,0,0,0
julucza,Gen,juliusza,Gen,identique,1,0,0,0,0
żuliusa,Gen,juliusza,Gen,identique,1,0,0,0,0
juliuszka,Gen,juliusza,Gen,identique,0,2,0,0,1
julusza,Gen,juliusza,Gen,identique,0,1,2,0,1
juliuszko,?,juliusza,Gen,différent,0,1,0,0,0
juliaszka,Gen,juliusza,Gen,identique,0,0,1,0,0
julicza,Gen,juliusza,Gen,identique,0,0,1,0,0
dżulius,Nom,juliusza,Gen,différent,0,0,1,0,0
julieszka,Gen,juliusza,Gen,identique,0,0,1,0,0
juliusz,Nom,juliusza,Gen,différent,0,0,1,0,0
juliżasi,?,juliusza,Gen,différent,0,0,1,0,0
żulianizi,?,juliusza,Gen,différent,0,0,0,1,0
żulius,Nom,juliusza,Gen,différent,0,0,0,1,0
juliske,?,juliusza,Gen,différent,0,0,0,1,0
juliuza,Gen,juliusza,Gen,identique,0,0,0,1,0
juliaska,Gen,juliusza,Gen,identique,0,0,0,1,0
juliusa,Gen,juliusza,Gen,identique,0,0,0,1,1
dżuliaska,Gen,juliusza,Gen,identique,0,0,0,1,0
julisze,?,juliusza,Gen,différent,0,0,0,0,1
juliska,Gen,juliusza,Gen,identique,0,0,0,0,1
juliszka,Gen,juliusza,Gen,identique,0,0,0,0,1
juliuse,?,juliusza,Gen,différent,0,0,0,0,1
dobra,Nom,dobrą,Ins,différent,12,8,11,10,5
dobron,Ins,dobrą,Ins,identique,1,5,0,0,0
dobry,Nom,dobrą,Ins,différent,1,0,0,0,0
dobre,Nom,dobrą,Ins,différent,1,0,0,2,0
dobru,?,dobrą,Ins,différent,0,1,0,0,0
dorba,Nom,dobrą,Ins,différent,0,0,0,1,0
kowalski,Nom,kowalskich,Gen,différent,1,4,5,3,3
kowalskiego,Gen,kowalskich,Gen,identique,1,0,0,0,0
kowalska,Nom,kowalskich,Gen,différent,1,0,0,0,1
skowalski,Nom,kowalskich,Gen,différent,1,1,0,0,0
kowaski,Nom,kowalskich,Gen,différent,0,2,0,0,0
kowal,Nom,kowalskich,Gen,différent,0,1,0,0,0
ospital,Nom,szpitala,Gen,différent,1,1,0,0,0
spita,Nom,szpitala,Gen,différent,1,0,0,0,0
oszpital,Nom,szpitala,Gen,différent,1,1,0,0,0
spital,Nom,szpitala,Gen,différent,1,1,0,3,0
szpitalu,Loc,szpitala,Gen,différent,1,5,1,0,0
szpital,Nom,szpitala,Gen,différent,0,1,2,2,0
szpitalem,Ins,szpitala,Gen,différent,0,1,0,0,1
spitalu,Loc,szpitala,Gen,différent,0,1,0,1,1
spitalem,Ins,szpitala,Gen,différent,0,2,0,0,0
szpitale,Nom,szpitala,Gen,différent,0,1,0,0,0
zapital,Nom,szpitala,Gen,différent,0,0,0,1,0
spytal,Nom,szpitala,Gen,différent,0,0,0,1,0
spitala,Gen,szpitala,Gen,identique,0,0,0,0,1
grawo,,prawo,,,1,0,0,0,0
brawo,,prawo,,,0,0,1,0,0
prewo,,prawo,,,0,0,2,0,2
praweu,,prawo,,,0,0,0,3,0
prawou,,prawo,,,0,0,0,1,0
restorancja,Nom,restauracji,Gen,différent,1,0,0,0,0
restoraucje,Acc,restauracji,Gen,différent,1,0,0,0,0
restoracja,Nom,restauracji,Gen,différent,2,0,5,2,4
restoraczje,Acc,restauracji,Gen,différent,1,0,0,0,0
restauracja,Nom,restauracji,Gen,différent,1,4,0,0,0
restaurasja,Nom,restauracji,Gen,différent,0,1,0,0,0
restaracja,Nom,restauracji,Gen,différent,0,0,1,0,1
restoranczja,Nom,restauracji,Gen,différent,0,0,1,0,0
restoraczja,Nom,restauracji,Gen,différent,0,0,1,0,0
restrantaże,Acc,restauracji,Gen,différent,0,0,0,1,0
restaracji,Gen,restauracji,Gen,identique,0,0,0,1,0
restoroka,Nom,restauracji,Gen,différent,0,0,0,1,0
restracji,Gen,restauracji,Gen,identique,0,0,0,3,0
restraca,Nom,restauracji,Gen,différent,0,0,0,1,0
restoranca,Nom,restauracji,Gen,différent,0,0,0,1,0
restracje,Acc,restauracji,Gen,différent,0,0,0,1,0
restoracje,Acc,restauracji,Gen,différent,0,0,0,0,1
resorancja,Nom,restauracji,Gen,différent,0,0,0,0,1
restorac,?,restauracji,Gen,différent,0,0,0,0,1
resturacja,Nom,restauracji,Gen,différent,0,0,0,0,1
teatr,Nom,teatru,Gen,différent,2,4,7,1,1
restorauk,?,teatru,Gen,différent,1,0,0,0,0
teatry,Nom,teatru,Gen,différent,1,0,0,0,0
tiatr,Nom,teatru,Gen,différent,1,0,0,0,0
teatra,?,teatru,Gen,différent,0,1,0,0,0
teatsz,Nom,teatru,Gen,différent,0,1,0,0,0
teatszem,Ins,teatru,Gen,différent,0,1,0,0,0
teatre,Loc,teatru,Gen,différent,0,3,0,4,3
teat,Nom,teatru,Gen,différent,0,0,0,1,1
tieat,Nom,teatru,Gen,différent,0,0,0,1,0
teaczre,Loc,teatru,Gen,différent,0,0,0,2,0
teaczra,?,teatru,Gen,différent,0,0,0,1,0
tieatr,Nom,teatru,Gen,différent,0,0,0,1,0
teatu,Gen,teatru,Gen,identique,0,0,0,0,1
teatrem,Ins,teatru,Gen,différent,0,0,0,0,1
tieatre,Loc,teatru,Gen,différent,0,0,0,0,1
skola,Nom,szkoły,Gen,différent,2,1,2,1,2
skała,Nom,szkoły,Gen,différent,1,0,0,0,0
skoly,Gen,szkoły,Gen,identique,1,1,0,0,1
skuole,Loc,szkoły,Gen,différent,1,0,0,0,0
szkola,Nom,szkoły,Gen,différent,0,1,4,4,1
szkuła,Nom,szkoły,Gen,différent,0,1,0,0,0
skoły,Gen,szkoły,Gen,identique,0,2,0,0,1
skołe,Acc,szkoły,Gen,différent,0,1,1,0,0
szkoly,Gen,szkoły,Gen,identique,0,1,0,0,0
skole,Loc,szkoły,Gen,différent,0,1,0,0,5
szkoła,Nom,szkoły,Gen,différent,0,0,3,1,1
zskola,Nom,szkoły,Gen,différent,0,0,0,1,0
skoła,Nom,szkoły,Gen,différent,0,0,0,1,1
szkole,Loc,szkoły,Gen,différent,0,0,0,1,0
szkula,Nom,szkoły,Gen,différent,0,0,0,0,1
szkolu,?,szkoły,Gen,différent,0,0,0,0,1
juwersytet,Nom,uniwersytetu,Gen,différent,1,0,0,0,0
uniwersytet,Nom,uniwersytetu,Gen,différent,1,0,3,1,0
uniwersitet,Nom,uniwersytetu,Gen,différent,1,1,1,0,5
uniwersiteć,Nom,uniwersytetu,Gen,différent,1,0,0,0,0
uniwersyteczem,Ins,uniwersytetu,Gen,différent,0,1,0,0,0
uniwersytecze,Loc,uniwersytetu,Gen,différent,0,1,0,0,0
uniweszitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
uniwerszitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
juniwersitet,Nom,uniwersytetu,Gen,différent,0,0,1,0,0
juniwersitecz,Nom,uniwersytetu,Gen,différent,0,0,0,1,0
uniwersitecia,?,uniwersytetu,Gen,différent,0,0,0,0,1
uniwezitet,Nom,uniwersytetu,Gen,différent,0,0,0,0,1
uniwersitete,Loc,uniwersytetu,Gen,différent,0,0,0,0,1
uniwesytietu,Gen,uniwersytetu,Gen,identique,0,0,0,0,1
uniwezite,Nom,uniwersytetu,Gen,différent,0,0,0,0,1
uniwerzitet,Nom,uniwersytetu,Gen,différent,0,0,0,0,1
do,?,dom,Nom,différent,1,0,0,0,0
domu,Gen,dom,Nom,différent,0,2,0,0,0
doma,?,dom,Nom,différent,0,0,0,1,0
zdom,Nom,dom,Nom,identique,0,0,0,0,1
szpitalu,Loc,szpitalem,Ins,différent,4,2,1,0,1
ospitalem,Ins,szpitalem,Ins,identique,2,1,0,0,0
oszpital,Nom,szpitalem,Ins,différent,1,0,0,0,0
hospitalem,Ins,szpitalem,Ins,identique,1,0,0,0,1
hospitalu,Loc,szpitalem,Ins,différent,1,0,0,0,0
oszpitalu,Loc,szpitalem,Ins,différent,0,2,0,0,0
oszpitalem,Ins,szpitalem,Ins,identique,0,1,0,0,0
szpitale,Nom,szpitalem,Ins,différent,0,1,0,0,1
spitalem,Ins,szpitalem,Ins,identique,0,1,1,0,5
szpital,Nom,szpitalem,Ins,différent,0,1,4,3,1
spitala,Gen,szpitalem,Ins,différent,0,1,0,0,0
hospital,Nom,szpitalem,Ins,différent,0,0,2,0,0
spital,Nom,szpitalem,Ins,différent,0,0,2,3,1
ospital,Nom,szpitalem,Ins,différent,0,0,1,0,1
zospitalu,Loc,szpitalem,Ins,différent,0,0,1,0,0
spitae,?,szpitalem,Ins,différent,0,0,0,0,1
spitalu,Loc,szpitalem,Ins,différent,0,0,0,0,1
szpitaem,Ins,szpitalem,Ins,identique,0,0,0,0,1
szpita,Nom,szpitalem,Ins,différent,0,0,0,0,1
spitale,Nom,szpitalem,Ins,différent,0,0,0,0,1
dobre,Nom,dobra,Nom,identique,2,1,2,0,0
dobry,Nom,dobra,Nom,identique,0,0,1,0,0
dobrej,Loc,dobra,Nom,différent,0,0,0,0,1
waga,Nom,uwaga,Nom,identique,1,0,0,0,0
ulice,Acc,ulicy,Loc,différent,1,0,0,0,0
ulic,?,ulicy,Loc,différent,1,0,0,0,0
ulica,Nom,ulicy,Loc,différent,0,4,1,0,4
ulidza,Nom,ulicy,Loc,différent,0,1,0,0,0
ulicza,Nom,ulicy,Loc,différent,0,0,3,0,1
dobre,Nom,dobrej,Loc,différent,3,2,0,0,0
dobry,Nom,dobrej,Loc,différent,0,1,0,0,0
dobra,Nom,dobrej,Loc,différent,0,3,4,0,5
sklep,Nom,sklepu,Gen,différent,3,5,3,5,2
sklepem,Ins,sklepu,Gen,différent,1,1,0,0,0
sklept,Nom,sklepu,Gen,différent,2,0,0,0,0
sklepts,Nom,sklepu,Gen,différent,1,0,0,0,0
szklepe,?,sklepu,Gen,différent,0,1,0,0,0
szklepu,Gen,sklepu,Gen,identique,0,1,1,0,0
sklepe,?,sklepu,Gen,différent,0,1,0,0,0
szklep,Nom,sklepu,Gen,différent,0,1,6,0,0
sklepd,Nom,sklepu,Gen,différent,0,1,0,0,0
szlep,Nom,sklepu,Gen,différent,0,0,0,1,0
skelp,Nom,sklepu,Gen,différent,0,0,0,1,0
slepu,Gen,sklepu,Gen,identique,0,0,0,0,1
slołackiego,Gen,słowackiego,Gen,identique,1,0,0,0,0
slowakiego,Gen,słowackiego,Gen,identique,1,1,1,1,4
skołaskiego,Gen,słowackiego,Gen,identique,1,0,0,0,0
skowalskiego,Gen,słowackiego,Gen,identique,2,0,1,0,0
słowaskiego,Gen,słowackiego,Gen,identique,1,2,0,0,0
sloweskiego,Gen,słowackiego,Gen,identique,1,0,0,0,0
sklowiańkiego,Gen,słowackiego,Gen,identique,1,0,0,0,0
sowaskiega,Gen,słowackiego,Gen,identique,1,0,0,0,0
slowackiego,Gen,słowackiego,Gen,identique,1,0,1,1,4
słowaksjego,Gen,słowackiego,Gen,identique,0,1,0,0,0
słowockiego,Gen,słowackiego,Gen,identique,0,1,0,0,0
słowacjego,Gen,słowackiego,Gen,identique,0,2,0,0,0
słowasjego,Gen,słowackiego,Gen,identique,0,1,0,0,0
szlowatsjego,Gen,słowackiego,Gen,identique,0,1,0,0,0
szlowakiego,Gen,słowackiego,Gen,identique,0,0,1,0,0
slowaczkiego,Gen,słowackiego,Gen,identique,0,0,1,0,0
szłowackiego,Gen,słowackiego,Gen,identique,0,0,1,0,1
słowaczkiego,Gen,słowackiego,Gen,identique,0,0,1,0,0
slowacziego,Gen,słowackiego,Gen,identique,0,0,1,0,0
słowaksiego,Gen,słowackiego,Gen,identique,0,0,1,0,0
slowłasigo,Gen,słowackiego,Gen,identique,0,0,0,1,0
stowancziengeu,Gen,słowackiego,Gen,identique,0,0,0,1,0
słowakiego,Gen,słowackiego,Gen,identique,0,0,0,2,1
słaswiego,Gen,słowackiego,Gen,identique,0,0,0,1,0
sjowackie,Nom,słowackiego,Gen,différent,0,0,0,0,1
slowajego,Gen,słowackiego,Gen,identique,0,0,0,0,1
sławagiego,Gen,słowackiego,Gen,identique,0,0,0,0,1
skret,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepu,Gen,sklepem,Ins,différent,4,0,0,0,8
sklebe,?,sklepem,Ins,différent,1,0,0,0,0
sklept,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepts,Nom,sklepem,Ins,différent,1,0,0,0,0
sklepen,Ins,sklepem,Ins,identique,0,1,0,0,0
szklepe,?,sklepem,Ins,différent,0,2,1,2,0
sklep,Nom,sklepem,Ins,différent,0,1,7,2,5
sklepiem,Ins,sklepem,Ins,identique,0,1,0,1,1
szklep,Nom,sklepem,Ins,différent,0,0,6,0,0
szklepem,Ins,sklepem,Ins,identique,0,0,0,4,0
ulisze,Acc,ulica,Nom,différent,1,0,0,0,0
ulika,Nom,ulica,Nom,identique,1,0,0,0,0
ulice,Acc,ulica,Nom,différent,0,1,1,0,0
uliczia,Nom,ulica,Nom,identique,0,0,2,0,0
ulicza,Nom,ulica,Nom,identique,0,0,3,0,3
ulicia,Nom,ulica,Nom,identique,0,0,1,0,0
julicza,Nom,ulica,Nom,identique,0,0,1,0,0
jul,?,ulica,Nom,différent,0,0,0,0,1
uli,?,ulica,Nom,différent,0,0,0,0,1
ulic,?,ulica,Nom,différent,0,0,0,0,1
ulisa,Nom,ulica,Nom,identique,0,0,0,0,2
park,Nom,parku,Gen,différent,1,1,2,1,1
numero,Nom,numer,Nom,identique,1,0,0,0,2
numier,Nom,numer,Nom,identique,1,0,0,0,0
nume,?,numer,Nom,différent,0,0,1,0,3
numeu,Nom,numer,Nom,identique,0,0,0,1,0
teatra,?,teatrem,Ins,différent,1,0,0,0,0
teatr,Nom,teatrem,Ins,différent,0,1,1,0,0
ospitalu,Gen,szpitalu,Gen,identique,1,0,0,0,0
szrodku,Loc,środku,Loc,identique,0,1,0,0,0
szyżowani,Nom,skrzyżowania,Gen,différent,0,1,0,0,0
szyżowanie,Nom,skrzyżowania,Gen,différent,0,0,0,0,1
rou,Loc,rogu,Loc,identique,0,1,0,0,0
szyżowanie,Nom,skrzyżowaniu,Loc,différent,0,1,0,0,0
szklep,Nom,sklep,Nom,identique,0,1,0,0,0
biblioteke,Acc,biblioteki,Gen,différent,0,1,0,0,0
biblioteka,Nom,biblioteki,Gen,différent,0,0,1,0,3
bibliotek,?,biblioteki,Gen,différent,0,0,0,1,0
biblioteku,?,biblioteki,Gen,différent,0,0,0,0,2
krzyżowanie,Nom,skrzyżowaniem,Ins,différent,0,1,0,0,0
szyżowanie,Nom,skrzyżowaniem,Ins,différent,0,0,0,0,1
rzeżowanie,Nom,skrzyżowaniem,Ins,différent,0,0,0,0,1
żelony,Nom,zielony,Nom,identique,0,1,0,0,0
zielon,?,zielony,Nom,différent,0,0,1,0,0
staczja,Nom,stacji,Loc,différent,0,0,2,0,0
numero,Nom,numery,Nom,identique,0,0,1,0,0
lewe,Nom,lewej,Loc,différent,0,0,1,0,0
kratika,Nom,krótką,Ins,différent,0,0,0,1,0
hotelu,Loc,hotelem,Ins,différent,0,0,0,0,1
teatre,Loc,teatr,Nom,différent,0,0,0,0,1
stasza,Nom,stacja,Nom,identique,0,0,0,0,1
restauracja,Nom,restauracją,Ins,différent,0,0,0,0,1
biblio,?,biblioteką,Ins,différent,0,0,0,0,1
parku,Gen,parkiem,Ins,différent,0,0,0,0,1
